""Pin Information for the Cyclone® IV EP4CE115 Device 
Version 1.1   
Notes (1), (2), (3)"",,,,,,,,,,,,,,,,,,,,,,,,
Bank Number,VREFB Group,Pin Name / Function,Optional Function(s),Configuration Function,F780,F484,DQS for X8/X9 in 780 FBGA,DQS for X16/X18 in 780 FBGA,DQS for X32/X36 in 780 FBGA,DQS for X8/X9 in 484 FBGA,DQS for X16/X18 in 484 FBGA,DQS for X32/X36 in 484 FBGA,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L1p,,,H7,,,,,,,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L1n,,C2,G3,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L2p,,D2,B2,DQ2L,DQ1L,DQ1L,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L2n,,D1,B1,DQ2L,DQ1L,DQ1L,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N0,IO,VREFB1N0,,H7,G5,,,,,,,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L3p,nRESET,G6,E4,DQ2L,DQ1L,DQ1L,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L3n,,G5,E3,DQ2L,DQ1L,DQ1L,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L4p,,E3,C2,""  DQS2L/CQ3L,CDPCLK0"",""  DQS2L/CQ3L,CDPCLK0"",""  DQS2L/CQ3L,CDPCLK0"",""  DQS2L/CQ3L,CDPCLK0"",""  DQS2L/CQ3L,CDPCLK0"",""  DQS2L/CQ3L,CDPCLK0"",,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L4n,,F3,C1,DQ2L,DQ1L,DQ1L,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L5p,,F5,D2,DQ2L,DQ1L,DQ1L,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L5n,""  DATA1,ASDO"",F4,D1,,,,,,,,,,,,,,,,,,
B1,VREFB1N0,IO,,,H6,,,,,,,,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L6p,,G4,H6,DQ2L,DQ1L,DQ1L,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L6n,,G3,J6,,,,DQ2L,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L7p,,H4,,,,,,,,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L7n,,H3,H3,,,,,,,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L8p,""  FLASH_nCE,nCSO"",E2,E2,,,,,,,,,,,,,,,,,,
B1,VREFB1N0,IO,DIFFIO_L8n,,E1,E1,,DQ1L,DQ1L,,DQ1L,DQ1L,,,,,,,,,,,,
B1,VREFB1N1,IO,DIFFIO_L9p,,F2,F2,DM2L,DM1L/BWS#1L,DM1L/BWS#1L,DM2L,DM1L/BWS#1L,DM1L/BWS#1L,,,,,,,,,,,,
